author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Gül Varol,13,Université Gustave Eiffel,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-8438-6152,FR
Lina Rojas-Barahona,13,Strasbourg/Lorraine,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,FR
Gabriel Peyré,13,Université Paris sciences et lettres,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0002-4477-0387,FR
Eric Moulines,13,Institut polytechnique de Paris,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,FR
Serena Villata,13,Université Côte d'Azur,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0,FR
Guillaume Gravier,13,Université de Rennes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,https://orcid.org/0000-0002-2266-5682,FR
Mathieu Roche,13,Université de Montpellier,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0003-3272-8568,FR
Thomas Moreau,12,Université Paris Cité,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,https://orcid.org/0009-0000-2965-0400,FR
Nicolas Vayatis,12,Université Paris-Saclay,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,https://orcid.org/0000-0003-4308-4681,FR
Ewa Kijak,12,Université de Rennes,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0003-0232-1097,FR
Guillaume Bouchard,12,Université Paris-Saclay,2.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,FR
Philippe Thomas,12,Hôpital Nord,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,https://orcid.org/0000-0002-3305-6989,FR
Stergos Afantenos,12,Université de Toulouse,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,0,FR
Gilles Adda,12,Université Paris-Saclay,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0,FR
Anne-Lyse Minard,12,Université de Rennes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,https://orcid.org/0000-0001-6197-0463,FR
Franck Burlot,12,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,FR
Patrick Saint-Dizier,12,Université de Toulouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0,FR
Laurent Romary,12,Université Paris sciences et lettres,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,https://orcid.org/0000-0002-0756-0508,FR
Sahar Ghannay,12,Université Paris-Saclay,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,https://orcid.org/0000-0002-7531-2522,FR
Lori Lamel,12,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0001-7443-9938,FR
Corinne Fredouille,12,Laboratoire Informatique d'Avignon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0,FR
Juliette Kahn,12,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,0,FR
Adrien Bartoli,12,Université Clermont Auvergne,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-3545-7329,FR
Dhouha Bouamor,12,Atomic Energy and Alternative Energies Commission,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,FR
Michel Vacher,12,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0,FR
Mohamed Morchid,11,Laboratoire Informatique d'Avignon,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0,FR
Olivier Bousquet,11,Laboratoire de l'Atmosphère et des Cyclones,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-2567-2079,FR
Xavier Alameda-Pineda,11,Université Grenoble Alpes,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0002-5354-1084,FR
Florian Strub,11,Université de Lille,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0001-7271-5345,FR
Lina M. Rojas-Barahona,11,Strasbourg/Lorraine,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,FR
Nathalie Aussenac-Gilles,11,Université de Toulouse,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,https://orcid.org/0000-0003-3653-3223,FR
Lauriane Aufrant,11,Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,FR
