numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200820635Z;CIT000807 CIC-IT LILLE;;2008;Unité mixte;22;2;;2 AVENUE OSCAR LAMBRET INSTITUT HIPPOCRATE;59037;LILLE;LOGIER;Régis;;CIT 807,CIT 807;Institut national de la sante et de la recherche medicale,Université de Lille (EPE);INSERM,LILLE;EPST,UNIV;Organismes de type EPST,Université;0755364Y,0597239Y;18003604800015,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;;;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200820635Z&PUBLIC=OK
201220416U;LABORATOIRE DE PALEONTOLOGIE, EVOLUTION, PALEOECOSYSTEMES, PALEOPRIMATOLOGIE;PALEVOPRIM;2012;Unité mixte;22;2;http://palevoprim.labo.univ-poitiers.fr/;PALEVOPRIM - Faculté de Sciences Fondamentales et Appliquées - Université de Poitiers - Bâtiment B35 - 6 Rue Michel Brunet - TSA 51106;86073;POITIERS CEDEX 9;MERCERON,CHAVASSEAU;Gildas,Olivier;Directeur,Directeur adjoint;UMR 7262,UMR 7262;Université de Poitiers,Centre national de la recherche scientifique;UP,CNRS;UNIV,EPST;Université,Organismes de type EPST;0860856N,0753639Y;19860856400375,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;3;Sciences de la terre et de l'univers, espace;LS8;Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220416U&PUBLIC=OK
201119599K;Fédération Lyonnaise de Modélisation et Sciences Numériques;FLMSN;2011;Structures Fédératives de Recherche;3;3;http://flmsn.univ-lyon1.fr;43 boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;BUFFAT;Marc;DIR;,,,,FR 3403,;Ecole Centrale de Lyon,Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Université Lumière Lyon 2,Université Jean Moulin Lyon 3,Ecole Normale Supérieure de Lyon;EC. CENTRALE LYON,INSA LYON,LYON 1,LYON 2,LYON 3,ENS LYON;AUT_ETAB,AUT_ETAB,UNIV,UNIV,UNIV,AUT_ETAB;Autres établissements ESR,Autres établissements ESR,Université,Université,Université,Autres établissements ESR;0690187D,0690192J,0691774D,0691775E,0692437Z,0694123G;19690187000010,19690192000013,19691774400019,19691775100014,19692437700282,13000812100019;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;202224171G,201320570G,201119864Y,200711932U,200711924K,200711906R,200511878U,200511875R,200317503S,200311854B,199911704F,199812078S,199812077R,199512098B,199512096Z,199512012H,199412029F,199411998X,197311954R,197112027D;201119864Y,200721824W;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119599K&PUBLIC=OK
201119600L;DYNAMIQUE DES SYSTÈMES COMPLEXES;FED4178;2011;Structures Fédératives de Recherche;3;3;;"Université Joseph Fourier
Structure fédérative DySCo
Laboratoire de spectrométrie physique
53";38041;GRENOBLE CEDEX 9;MISBAH;Chaouqi;DIR;FED 4178;Université Grenoble Alpes;GRENOBLE ALPES;UNIV;Université;0383546Y;13002608100013;TUTE;établissement tutelle;;;;;;;1,2,3,5,8;Mathématiques et leurs interactions,Physique,Sciences de la terre et de l'univers, espace,Biologie, médecine et santé,Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119600L&PUBLIC=OK
200519935B;REPLICATION DES CHROMOSOMES EUCARYOTES ET SES POINTS DE CONTROLE;REPLICHROM;2005;Groupements de Recherche;32;3;;INSTITUT DE GENETIQUE HUMAINE 141, rue de la Cardonille;34396;MONTPELLIER CEDEX 5;MECHALI;Marcel;DIR;GDR 2915,GDR 2915,GDR 2915,GDR 2915,GDR 2915,GDR 2915,GDR 2915,GDR 2915,GDR 2915;Université Toulouse 3 - Paul Sabatier,Institut Curie Paris,Ecole Normale Supérieure Paris,Centre national de la recherche scientifique,Institut national de la sante et de la recherche medicale,Sorbonne Université,Université Paris Cité,Université Paris sciences et lettres,Université de Montpellier (EPE);TOULOUSE 3,INS.CURIE,ENS PARIS,CNRS,INSERM,SORBONNE UNIV.,U PARIS Cité,PSL,MONTPELLIER;UNIV,FONDATION,AUT_ETAB,EPST,EPST,UNIV,UNIV,UNIV,UNIV;Université,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.),Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Université,Université,Université,Université;0311384L,0753172R,0753455Y,0753639Y,0755364Y,0755890V,0755976N,0756036D,0342490X;19311384200010,78425716400011,19753459700012,18008901303720,18003604800015,13002338500011,13002573700011,13002614900018,13002979600013;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200519935B&PUBLIC=OK
201119642G;Mathématiques et Informatique Appliquées - Paris-Saclay;MIA Paris;1962;Unité mixte;22;2;http://www6.inra.fr/mia-paris;22, place de l'Agronomie - CS20040;91123;Palaiseau Cedex;CHIQUET;Julien;;UMR 518,UMR 0518,;AgroParisTech (Inst Sc et Ind du Vivant et Environnement),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Paris-Saclay;AGROPARISTECH,INRAE,U PARIS-SACLAY;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0753465J,,0912408Y;13000285000134,18007003901803,13002602400054;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;1,9,10;Mathématiques et leurs interactions,Sciences et technologies de l'information et de la communication,Sciences agronomiques et écologiques;"LS2;PE1;PE6;LS8;LS9";Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics,Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119642G&PUBLIC=OK
200819775P;L'information visuelle et textuelle en histoire de l'art : nouveaux terrains, corpus, outils;In Visu;2008;Unité mixte;22;2;http://invisu.inha.fr/;2 rue Vivienne;75002;PARIS;CHARPY;Manuel;DIR;USR 3103,UAR 3103;Institut National d'Histoire de l'Art,Centre national de la recherche scientifique;INHA,CNRS;AUT_ETAB,EPST;Autres établissements ESR,Organismes de type EPST;0755026F,0753639Y;19754688000018,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6,9;Sciences humaines et humanités,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200819775P&PUBLIC=OK
201019802K;Afrique au Sud du Sahara;;2010;Unité mixte;22;2;;IFRA NAIROBI, UMIFRE 24, Laikipia Road, Kileleshwa;02200;Nairobi;MOROVICH,CORET,MARCHI,LE POULLENNEC;Barbara,Clélia,Severine,Annael;DIR-ADJ,DIR,DIR-ADJ,DIR-ADJ;UAR 3336,USR 3336;Centre national de la recherche scientifique,Ministère des affaires étrangères;CNRS,MIN.A.E.;EPST,AUT_OP_FR;Organismes de type EPST,Autre opérateur de droit français;0753639Y,;18008901303720,11000601200014;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019802K&PUBLIC=OK
199619815K;IFR DE BIOLOGIE DU COLLEGE DE FRANCE;;1996;Structures Fédératives de Recherche;3;3;;COLLEGE DE FRANCE  11, place Marcellin Berthelot;75005;PARIS;EICHMANN;Anne;DIR;IFR 52,IFR 52,IFR 52;Ecole Normale Supérieure Paris,Collège de France Paris,Université Paris sciences et lettres;ENS PARIS,COLL.DE FRANCE,PSL;AUT_ETAB,AUT_ETAB,UNIV;Autres établissements ESR,Autres établissements ESR,Université;0753455Y,0753480A,0756036D;19753459700012,19753480300014,13002614900018;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199619815K&PUBLIC=OK
201220430J;Laboratoire Jean-Alexandre Dieudonné;LJAD;2012;Unité mixte;22;2;https://univ-cotedazur.fr/laboratoires/laboratoire-jean-alexandre-dieudonne-ljad;Campus Sciences, Parc Valrose, 28 avenue Valrose;06108;NICE CEDEX 2;PECOU,GOUDON;Elisabeth,Thierry;,Directeur;UMR 7351,UMR 7351,;Centre national de la recherche scientifique,Université Côte d'Azur,Institut national de la recherche en informatique et automatique;CNRS,UniCA,INRIA;EPST,UNIV,EPST;Organismes de type EPST,Université,Organismes de type EPST;0753639Y,0062205P,0780491K;18008901303720,13002566100013,18008904700013;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;202023544J,202023535Z,201622008G,201521161R,201221047E,201221027H,201220430J,201121214R,200919005Y,200718401A,200218407D,200218402Y;201220430J;199612392S;renouvellement;R;2012;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220430J&PUBLIC=OK
201220468A;Institut Européen de Génomique du Diabète;EGID;2012;Structures Fédératives de Recherche;3;3;;;59000;LILLE;FROGUEL;Philippe;DIR;FR 3508,FR 3508,,,FR 3508;Centre national de la recherche scientifique,Institut national de la sante et de la recherche medicale,Université de Lille (EPE),Institut Pasteur de Lille,Centre Hospitalier Universitaire de Lille;CNRS,INSERM,LILLE,INST PASTEUR LILLE,CHUL;EPST,EPST,UNIV,FONDATION,MEDIC;Organismes de type EPST,Organismes de type EPST,Université,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.),Etablissements de santé;0753639Y,0755364Y,0597239Y,0596852C,;18008901303720,18003604800015,13002975400012,78369683400010,26590671900017;TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;200616430M;;;;;;5;Biologie, médecine et santé;LS2;Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220468A&PUBLIC=OK
201220485U;Fédération de recherche Bézout;BEZOUT;2012;Structures Fédératives de Recherche;3;3;;5 boulevard Descartes;77454;MARNE LA VALLEE CEDEX 2 - CHAMPS SUR MARNE;FRADELIZI;Matthieu;;FR 3522,FR 3522,FR 3522,,;Université Paris est Créteil Val de Marne,Centre national de la recherche scientifique,Université Gustave Eiffel,Ecole des Ponts ParisTech,Ecole Supérieure Ingénieurs Electrotechnique, Electronique Marne La Vallée;UPEC,CNRS,UNIV.G.EIFFEL,ENPC PARIS,ESIEE MARNE;UNIV,EPST,UNIV,AUT_ETAB,AUT_ETAB;Université,Organismes de type EPST,Université,Autres établissements ESR,Autres établissements ESR;0941111X,0753639Y,0772894C,0753501Y,0932019P;19941111700013,18008901303720,13002612300013,19753501600020,13001727000146;TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;200212718V;;;;;;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220485U&PUBLIC=OK
200520104K;CIC BIOTHERAPIE ET VACCINOLOGIE COCHIN-PASTEUR;;2005;Unité mixte;22;2;http://www.cicvaccinologie.com;Hôpital Cochin 27, rue du Faubourg Saint-Jacques Bât Lavoisier;75679;PARIS CEDEX 14;LAUNAY;Odile;;CIC 1417,CIC 1417;Institut national de la sante et de la recherche medicale,Université Paris Cité;INSERM,U PARIS Cité;EPST,UNIV;Organismes de type EPST,Université;0755364Y,0755976N;18003604800015,13002573700011;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200520104K&PUBLIC=OK
201020121G;CIC MONTPELLIER;;2010;Unité propre;21;2;http://cic.chu-montpellier.fr/;Hôpital Saint eloi 80, Avenue augustin Fliche;34295;MONTPELLIER CEDEX 5;RENARD;Eric;;CIC 1411,;Institut national de la sante et de la recherche medicale,Centre hospitalier universitaire de Montpellier;INSERM,CHUM;EPST,MEDIC;Organismes de type EPST,Etablissements de santé;0755364Y,;18003604800015,26340016000382;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201020121G&PUBLIC=OK
199520130G;CIC SAINT-LOUIS;;1995;Unité propre;21;2;;Hôpital Saint-Louis 1, Avenue Claude Vellefaux;75475;PARIS CEDEX 10;KILADJIAN;Jean-Jacques;;CIC 1427;Institut national de la sante et de la recherche medicale;INSERM;EPST;Organismes de type EPST;0755364Y;18003604800015;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199520130G&PUBLIC=OK
201320694S;Management des organisations de santé;EA7348 MOS;2013;Unité propre;21;2;http://www.ehesp.fr/management-des-organisations-de-sante/;Ecole des hautes études en santé publique (EHESP) - Avenue du Professeur Léon-Bernard - CS 74312;35043;Rennes Cedex;MINVIELLE;Etienne;;EA 7348;Ecole des Hautes Etudes en Santé Publique;EHESP RENNES;AUT_ETAB;Autres établissements ESR;0350095N;13000362700010;TUTE;établissement tutelle;;;;;;;7;Sciences de la société;SH1;Individuals, Markets and Organisations : Economics, finance, management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201320694S&PUBLIC=OK
201420752A;Neurosciences Paris-Seine;NPS;2014;Unité mixte;22;2;;9 Quai Saint-Bernard;75252;PARIS CEDEX 05;CHNEIWEISS,RONDI-REIG;Herve,Laure;DIR,Directrice-adjointe;UMR 8246,U 1130,UMR 8246;Centre national de la recherche scientifique,Institut national de la sante et de la recherche medicale,Sorbonne Université;CNRS,INSERM,SORBONNE UNIV.;EPST,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Université;0753639Y,0755364Y,0755890V;18008901303720,18003604800015,13002338500011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;200918507G,200112489A;"éclatement - fusion;éclatement - fusion";"EF;EF";"2014;2014";5;Biologie, médecine et santé;LS5;Neuroscience and Disorders of the Nervous System : Nervous system development, homeostasis and ageing, nervous system function and dysfunction, systems neuroscience and modelling, biological basis of cognitive processes and of behaviour, neurological and mental disorders;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201420752A&PUBLIC=OK
201220775J;Institut de Recherche Interdisciplinaire Homme et Sociétés;IRIHS;2012;Structures Fédératives de Recherche;3;3;http://irihs.univ-rouen.fr/;IRIHS - 2 place Emile Blondel;76821;MONT SAINT AIGNAN CEDEX;QUIROZ,ANNOOT;Lissel,Emmanuelle;,;FED 4137,FED 4137,FED 4137;Université Rouen,Université de Caen Normandie,Université Le Havre;ROUEN,CAEN,LE HAVRE;UNIV,UNIV,UNIV;Université,Université,Université;0761904G,0141408E,0762762P;19761904200017,19141408500016,19762762300097;TUTE,PART,PART;établissement tutelle,établissement participant,établissement participant;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;"SH3;SH6;SH1;SH4";The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies,The Study of the Human Past : Archaeology and history,Individuals, Markets and Organisations : Economics, finance, management,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220775J&PUBLIC=OK
201220784U;TERRITOIRES;FED 4229;2012;Structures Fédératives de Recherche;3;3;http://shes.pole.univ-poitiers.fr/territoires/;Fédération TERRITOIRES - Université de Poitiers - Bâtiment A1 - 2 Rue Jean Carbonnier;86073;POITIERS CEDEX 9;FERRU,YENGUE;Marie,Jean-Louis;,DIR;FED 4229,FED 4229;Université de Poitiers,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;UP,INRAE;UNIV,EPST;Université,Organismes de type EPST;0860856N,;19860856400375,18007003901803;TUTE,PART;établissement tutelle,établissement participant;;;;;;;7;Sciences de la société;SH3;The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220784U&PUBLIC=OK
