institution_country_code,year,institution_id,institution_display_name,institution_ror,institution_type,nb,id_paysage_init,id_paysage__init,id_paysage_corr,id_paysage_RGP,id_paysage,id_paysage_actuel,uo_lib
FR,2022,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,02v6kpv12,education,813,m7K6T,,,4a8B2,m7K6T,m7K6T,Université Toulouse III - Paul Sabatier
FR,2018,https://openalex.org/I15057530,University of Bordeaux,057qpr032,education,808,90I54,,,XeJDw,90I54,90I54,Université de Bordeaux
FR,2018,https://openalex.org/I19894307,University of Montpellier,051escj72,education,792,evv7S,evv7S,7yd5d,M2Z5a,7yd5d,evv7S,Université de Montpellier
FR,2018,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,02v6kpv12,education,788,m7K6T,,,4a8B2,m7K6T,m7K6T,Université Toulouse III - Paul Sabatier
FR,2021,https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,054qv7y42,education,787,S88MV,,,XeJDw,S88MV,S88MV,Bordeaux INP
FR,2023,https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,054qv7y42,education,785,S88MV,,,XeJDw,S88MV,S88MV,Bordeaux INP
FR,2019,https://openalex.org/I21491767,Aix-Marseille University,035xkbk20,education,767,xJdyB,,,TW2ed,xJdyB,xJdyB,Aix-Marseille Université
FR,2021,https://openalex.org/I4210107720,CentraleSupélec,019tcpt25,facility,761,m84Aa,,,G2qA7,m84Aa,m84Aa,CentraleSupélec
FR,2020,https://openalex.org/I4210107720,CentraleSupélec,019tcpt25,facility,755,m84Aa,,,G2qA7,m84Aa,m84Aa,CentraleSupélec
FR,2023,https://openalex.org/I68947357,University of Strasbourg,00pg6eq24,education,753,4k25D,,,LorStr,4k25D,4k25D,Université de Strasbourg
FR,2022,https://openalex.org/I4210154111,Université Gustave Eiffel,03x42jk29,education,746,3Z5e6,,,6g0Mb,3Z5e6,3Z5e6,Université Gustave Eiffel
FR,2018,https://openalex.org/I56067802,University of Rennes,015m7wh34,education,743,91D9w,91D9w,9wAap,91D9w,9wAap,91D9w,Université de Rennes
FR,2019,https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,054qv7y42,education,733,S88MV,,,XeJDw,S88MV,S88MV,Bordeaux INP
FR,2022,https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,054qv7y42,education,731,S88MV,,,XeJDw,S88MV,S88MV,Bordeaux INP
FR,2018,https://openalex.org/I4210160189,Institut Polytechnique de Bordeaux,054qv7y42,education,729,S88MV,,,XeJDw,S88MV,S88MV,Bordeaux INP
FR,2021,https://openalex.org/I201841394,Université Côte d'Azur,019tgvf94,education,720,s3t8T,,,s3t8T,s3t8T,s3t8T,Université Côte d'Azur
FR,2019,https://openalex.org/I4210107720,CentraleSupélec,019tcpt25,facility,714,m84Aa,,,G2qA7,m84Aa,m84Aa,CentraleSupélec
FR,2018,https://openalex.org/I2746051580,Université Paris Sciences et Lettres,013cjyk83,education,703,PpsCQ,PpsCQ,Olkw0,PpsCQ,Olkw0,PpsCQ,Université Paris sciences et lettres
FR,2023,https://openalex.org/I4210166444,Institut de Recherche pour le Développement,05q3vnk25,government,699,Uan45,,,,Uan45,Uan45,Institut de recherche pour le développement
FR,2023,https://openalex.org/I4210154111,Université Gustave Eiffel,03x42jk29,education,695,3Z5e6,,,6g0Mb,3Z5e6,3Z5e6,Université Gustave Eiffel
FR,2018,https://openalex.org/I106785703,Grenoble Institute of Technology,05sbt2524,education,688,2ALYK,,,Y7ch7,2ALYK,2ALYK,Institut polytechnique de Grenoble
FR,2022,https://openalex.org/I201841394,Université Côte d'Azur,019tgvf94,education,687,s3t8T,,,s3t8T,s3t8T,s3t8T,Université Côte d'Azur
